pdf_path,relative_path,top_category,second_category,bytes,last_write_time,full_pypdf_status,full_pypdf_pages,full_pypdf_error,full_pypdf_elapsed_ms,current_exists,review_status,fitz_ok,fitz_pages,fitz_error,review_note
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_16.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_16.pdf,1.민사,기출,3072373,2023-03-23T17:58:12,OK,18,,17680,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_17.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_17.pdf,1.민사,기출,501625,2023-04-06T00:31:12,OK,18,,155,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_18.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_18.pdf,1.민사,기출,494974,2023-04-06T00:59:14,OK,19,,132,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_19.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_19.pdf,1.민사,기출,517321,2023-04-06T17:42:00,OK,20,,214,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_20.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_20.pdf,1.민사,기출,477422,2023-03-27T23:57:16,OK,19,,172,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_21.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_21.pdf,1.민사,기출,494517,2023-04-06T22:01:06,OK,20,,10603,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_22.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_22.pdf,1.민사,기출,501034,2023-04-06T22:51:34,OK,20,,187,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_13.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_13.pdf,1.민사,기출,34025,2023-03-27T00:22:08,OK,1,,113,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_14.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_14.pdf,1.민사,기출,345324,2023-03-22T17:27:56,OK,1,,290,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_15.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_정답표_15.pdf,1.민사,기출,33904,2023-04-05T19:08:32,OK,1,,435,True,OK,,,,
